property_type,society,sector,price,pricePerSqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,others,store room,pooja room,servant room,furnishing_type,luxury_score,area_per_bedroom
flat,signature global park,sector 33,0.9,8036.0,3,2,0,2.0,Under Construction,1120.0,0,0,0,0,0,0,69,373.3333333333333
flat,godrej nature plus,sector 33,1.75,8768.0,3,3,0,2.0,Relatively New,1996.0,0,0,0,0,0,0,65,665.3333333333334
flat,supertech hues,sector 68,0.93,8611.0,2,2,2,11.0,New Property,1200.0,0,0,0,0,0,0,0,540.0
flat,dlf new town heights,sector 90,1.8,6601.0,4,4,3+,23.0,Moderately Old,2468.0,0,0,0,0,0,0,67,681.75
flat,central park flower valley aqua front towers,sector 33,2.1,11738.0,3,3,2,6.0,Under Construction,1619.0,0,0,0,0,0,0,47,596.3333333333334
flat,ambience creacions,sector 22,2.0,14493.0,2,2,2,9.0,Relatively New,1533.0,0,0,0,0,0,0,46,690.0
flat,signature global city 63a,sector 63a,2.0,12804.0,3,3,2,1.0,Under Construction,1540.0,0,0,0,0,0,0,36,520.6666666666666
flat,godrej oasis,sector 88a,1.29,7799.0,3,3,3,5.0,New Property,1642.0,1,1,0,0,0,0,79,551.3333333333334
flat,m3m skycity,sector 65,2.85,15591.0,3,3,3,43.0,Under Construction,1828.0,0,0,0,0,0,1,124,609.3333333333334
flat,supertech araville,sector 79,1.1,5641.0,3,3,3,1.0,Relatively New,2167.0,0,0,0,0,0,1,96,650.0
flat,smart world orchard,sector 61,1.65,13750.0,2,2,2,1.0,Under Construction,1333.0,1,0,0,0,0,0,46,600.0
flat,hcbs sports ville,sector 33,0.24,7407.0,1,1,2,1.0,New Property,360.0,0,0,0,0,0,0,83,324.0
flat,emaar palm premier,sector 77,2.1,10500.0,3,4,3+,11.0,New Property,1600.0,0,0,0,0,1,1,140,666.6666666666666
flat,godrej nature plus,sector 33,1.9,9850.0,3,3,3+,14.0,New Property,2143.0,0,0,0,0,1,0,107,643.0
flat,godrej aria,sector 79,1.1,11482.0,2,2,3,9.0,New Property,81.0,0,0,0,0,0,0,69,479.0
flat,ramsons kshitij,sector 95,0.32,4501.0,2,2,1,8.0,Relatively New,563.0,0,1,0,0,0,2,28,355.5
flat,conscient one,sector 109,1.7,17617.0,1,1,2,9.0,Relatively New,965.0,0,0,0,0,0,0,0,965.0
flat,pareena laxmi apartments,sector 99a,0.32,6107.0,2,2,2,2.0,New Property,473.0,0,0,0,0,0,0,60,262.0
flat,pyramid elite,sector 86,0.45,7745.0,2,2,1,4.0,Under Construction,646.0,0,0,0,0,0,0,85,290.5
flat,m3m skycity,sector 65,2.1,16031.0,2,2,2,43.0,New Property,1186.0,0,0,0,0,0,0,144,655.0
